time,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
01.01.2023 08:45,33.25510528657241,42.08207767745275,39.72137575896153,36.33428170199579,41.67152082206297,38.9002620481819,39.92665418665639,48.95890500523162,43.72430509901188,56.55420682994259
01.01.2023 09:00,56.11172846080612,71.00558231151393,67.0223423281851,61.30725887384373,70.31284492310893,65.63686755137508,67.36871102238763,82.6089335672979,73.776531865134,95.42457525279066
01.01.2023 09:15,171.29292802196161,216.75956941050697,204.59988624845414,187.15338432029137,214.64484190406301,200.3704312355662,205.6572500016761,252.18125514344345,225.2184794362829,291.30371401265694
01.01.2023 09:30,0.0,98.29375453671179,0.0,384.238660621432,440.6804977748628,0.0,422.228358705472,0.0,0.0,598.0663898373137
01.01.2023 09:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 10:00,910.579382218063,1152.2763787327337,1087.6364843160195,994.8922879789947,1141.0346579646098,1065.1530427797707,1093.2573447000816,1340.5752015988148,1197.243261805231,1548.5470358091131
01.01.2023 10:15,1094.7489628508433,1385.330477681623,1307.6168167385085,1196.1146075592549,1371.8150583871682,1280.5859781495978,1314.374526385735,1611.7137508637422,1439.3921548594426,1861.749007811157
01.01.2023 10:30,1297.990162167285,1642.5184150882312,1550.3771381442573,1418.1744364420329,1626.4938451849314,1518.3279983376576,1558.3894230959086,1910.929960968503,1706.6166947014306,2207.3845041795494
01.01.2023 10:45,1520.0991598892062,1923.5822702301684,1815.6739965343297,1660.84908210117,1904.8156139352402,1778.1406839444721,1825.057324681794,2237.9237631702204,1998.6488954098822,2585.106904626397
01.01.2023 11:00,1760.6633833210005,2227.9999603753417,2103.0145967445287,1923.6877706655396,2206.263375396069,2059.5414267859855,2113.8828892341644,2592.08775877814,2314.946300292427,2994.2145808946643
01.01.2023 11:15,1835.8381859549165,2323.128568646652,2192.806722112817,2005.8232031729647,2300.4638996842477,2147.4773841880046,2204.1390565940205,2702.761773766961,2413.7872444962795,3122.058149571478
01.01.2023 11:30,1911.6933652146379,2419.118147339511,2283.411519561929,2088.7020101419193,2395.516994682541,2236.2092142479873,2295.212095890414,2814.437454343773,2513.522757967394,3251.058778497734
01.01.2023 11:45,1988.0848439936601,2515.7863766586443,2374.656896992428,2172.1667739930745,2491.2421193253895,2325.5683823259174,2386.9290256590552,2926.9026869906666,2613.963405991662,3380.971447655885
01.01.2023 12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 12:15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01.01.2023 12:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
