time-stamp,Muff_AW-INFO,Muff_INFO-ETI,Muff_AW-ZHI,Muff_HKW-DLR,Muff_DLR-ATRIUM,Muff_ZHI-HdM,Muff_AW-KZS1,Muff_AW-KZS2,Muff_IFF-ZAQ,Muff_ZAQ-IFKB
2023-01-26 06:15:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-26 06:30:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-26 06:45:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-26 07:00:00,4.674107142857143e-05,5.914765211640212e-05,5.5829613095238095e-05,5.106894841269842e-05,5.857060185185186e-05,5.467551256613757e-05,5.611813822751323e-05,6.881324404761906e-05,6.145585317460318e-05,7.948867394179894e-05
2023-01-26 07:15:00,6.245455242113076,7.903199534772719,7.459849316968396,6.823738134901324,7.82609514906762,7.305640545558197,7.498401509820946,9.19469799533314,8.211617077593118,10.621129130877485
2023-01-26 07:30:00,29.614547292898024,37.47519873484009,35.372931488739304,32.3566350052034,37.10958703986605,34.64170809879121,35.55573733622633,43.59919462565543,38.937645514736296,50.36301098267534
2023-01-26 07:45:00,72.23061387246136,91.40293730774432,86.27545545877328,78.91863367546705,90.51120133401022,84.49198351130511,86.72132344564032,106.33951486779034,94.96988120268068,122.83663038187102
2023-01-26 08:00:00,136.52212506312168,172.75947924654287,163.06809382539532,149.16306256896627,171.07402091243029,159.6971771571701,163.91082299245164,200.99090634292915,179.50131258299334,232.17188552401248
2023-01-26 08:15:00,573.590314261094,725.83959520694,685.1217642563067,626.7005285445287,718.7582333024819,670.9590404473909,688.6624452085357,844.4524071066106,754.1650428247717,975.4576023390828
2023-01-26 08:30:00,1437.79700797774,1819.4344854039305,1717.3686484178563,1570.9263605682718,1801.6839050585263,1681.867487727048,1726.2439385905584,2116.7567061894506,1890.4368067855476,2445.142442579428
2023-01-26 08:45:00,2841.306459897727,3595.4803967841617,3393.782715988952,3104.3903913697395,3560.40253925456,3323.627000929749,3411.3216447537534,4183.034510404988,3735.791826902568,4831.974874702617
2023-01-26 09:00:00,4880.732682518196,6176.235801952039,5829.76403745229,5332.652375343955,6115.979842908604,5709.252119365421,5859.892016974007,7185.523115929567,6417.259638125777,8300.258358233106
2023-01-26 09:15:00,5032.649058026378,6368.4756598481945,6011.219708198174,5498.63508191771,6306.344189996017,5886.956768493819,6042.285443124262,7409.177779872168,6617.001539256905,8558.60997213745
2023-01-26 09:30:00,5006.221302537115,6335.033129753756,5979.653222474887,5469.760312031292,6273.227928487866,5856.042819943107,6010.555823107832,7370.270250957419,6582.253934817318,8513.66647437639
2023-01-26 09:45:00,4825.229316704761,6106.000061262199,5763.468350508465,5272.009808992239,6046.429328957201,5644.326885898471,5793.253716660964,7103.809827370898,6344.2829904821865,8205.868375013344
2023-01-26 10:00:00,4519.170009160031,5718.702789369176,5397.897510941148,4937.611676674848,5662.910567033867,5286.31306627053,5425.793622108802,6653.222513485601,5941.871678710411,7685.378626688817
2023-01-26 10:15:00,5255.390448299787,6650.339764823804,6277.27192435808,5742.000674994211,6585.458401264548,6147.509197239567,6309.712606137707,7737.102604441354,6909.865219060832,8937.4078302876
2023-01-26 10:30:00,6043.508150383735,7647.649202646084,7218.634735180572,6603.092238382229,7573.037990912951,7069.412311714306,7255.940341047138,8897.386999176053,7946.094049578613,10277.694416239005
2023-01-26 10:45:00,6882.916140864262,8709.863017760332,8221.260946032313,7520.223190944287,8624.88874441633,8051.312399344308,8263.748082704315,10133.182096272389,9049.760111136346,11705.206153136443
2023-01-26 11:00:00,7773.042790057086,9836.25785161545,9284.46777701263,8492.768974321632,9740.294360380176,9092.540794542085,9332.449522630266,11443.646329806266,10220.11181655654,13218.97091765881
2023-01-26 11:15:00,8112.658057586567,10266.017912378064,9690.119346561734,8863.830099955694,10165.86164006218,9489.806801929968,9740.197482719675,11943.635473669116,10666.6430016416,13796.52651151296
2023-01-26 11:30:00,8458.13987645165,10703.201695509806,10102.778185761696,9241.300976123102,10598.780215553614,9893.935225849307,10154.988925739792,12452.261484776043,11120.88761533458,14384.058863965618
2023-01-26 11:45:00,8809.33867657218,11147.61993023023,10522.265641461216,9625.018183662198,11038.862662618229,10304.751106237212,10576.644275267216,12969.304162731269,11582.64900067824,14981.313613553308
2023-01-26 12:00:00,9166.130978890838,11599.11636217668,10948.43422478628,10014.84681026962,11485.954251326177,10722.110003085272,11005.015280211532,13494.581718922624,12051.764805578696,15588.08076965695
2023-01-26 12:15:00,11873.519888893328,15025.133192735386,14182.259867289253,12972.919878605671,14878.546527440409,13889.086536699297,14255.55319993674,17480.459836426293,15611.479853915303,20192.313144383406
2023-01-26 12:30:00,14842.5473263052,18782.235814151645,17728.59819530899,16216.857263926056,18598.994489135534,17362.115545276763,17820.21885781705,21851.52800817155,19515.2011142161,25241.49252096965
