time;p_grid_feedin
02.01.2023 01:45;0.0
02.01.2023 02:00;0.0
02.01.2023 02:15;0.0
02.01.2023 02:30;0.0
02.01.2023 02:45;0.0
02.01.2023 03:00;1007819.5577157498
02.01.2023 03:15;1008354.4420076244
02.01.2023 03:30;1008301.9316514997
02.01.2023 03:45;0.0
02.01.2023 04:00;0.0
02.01.2023 04:15;0.0
02.01.2023 04:30;0.0
02.01.2023 04:45;0.0
02.01.2023 05:00;0.0
02.01.2023 05:15;0.0
02.01.2023 05:30;0.0
02.01.2023 05:45;1012453.2599960323
02.01.2023 06:00;1013201.2041823062
02.01.2023 06:15;1013346.7941743431
02.01.2023 06:30;1015066.7841298194
02.01.2023 06:45;1015593.5431466568
02.01.2023 07:00;1016145.2286826081
02.01.2023 07:15;0.0
02.01.2023 07:30;0.0
02.01.2023 07:45;0.0
02.01.2023 08:00;0.0
02.01.2023 08:15;0.0
02.01.2023 08:30;0.0
02.01.2023 08:45;0.0
02.01.2023 09:00;0.0
02.01.2023 09:15;0.0
02.01.2023 09:30;0.0
02.01.2023 09:45;0.0
02.01.2023 10:00;0.0
02.01.2023 10:15;0.0
02.01.2023 10:30;0.0
02.01.2023 10:45;0.0
02.01.2023 11:00;0.0
02.01.2023 11:15;0.0
02.01.2023 11:30;0.0
02.01.2023 11:45;0.0
02.01.2023 12:00;0.0
02.01.2023 12:15;0.0
02.01.2023 12:30;0.0
02.01.2023 12:45;0.0
02.01.2023 13:00;0.0
02.01.2023 13:15;0.0
02.01.2023 13:30;0.0
02.01.2023 13:45;0.0
02.01.2023 14:00;0.0
02.01.2023 14:15;0.0
02.01.2023 14:30;0.0
02.01.2023 14:45;0.0
02.01.2023 15:00;0.0
02.01.2023 15:15;0.0
02.01.2023 15:30;0.0
02.01.2023 15:45;0.0
02.01.2023 16:00;1013371.6990366196
02.01.2023 16:15;1013308.3739437971
02.01.2023 16:30;1012952.4430078277
02.01.2023 16:45;1012654.0152082025
02.01.2023 17:00;1012869.4664736526
02.01.2023 17:15;1012892.4452137155
02.01.2023 17:30;1012441.6704341562
02.01.2023 17:45;1012099.9660116016
02.01.2023 18:00;0.0
02.01.2023 18:15;0.0
02.01.2023 18:30;0.0
02.01.2023 18:45;0.0
02.01.2023 19:00;0.0
02.01.2023 19:15;1010437.109969622
02.01.2023 19:30;1010328.2121735911
02.01.2023 19:45;1009786.530214631
02.01.2023 20:00;1009655.4603237993
02.01.2023 20:15;1008991.525124193
02.01.2023 20:30;0.0
02.01.2023 20:45;0.0
02.01.2023 21:00;0.0
02.01.2023 21:15;0.0
02.01.2023 21:30;0.0
02.01.2023 21:45;0.0
02.01.2023 22:00;0.0
02.01.2023 22:15;0.0
02.01.2023 22:30;1008108.756741364
02.01.2023 22:45;0.0
02.01.2023 23:00;0.0
02.01.2023 23:15;0.0
02.01.2023 23:30;1006923.3132052746
02.01.2023 23:45;1006870.9174601798
03.01.2023 00:00;1007136.9579799247
03.01.2023 00:15;1006866.6705245231
03.01.2023 00:30;1006798.3139297147
03.01.2023 00:45;1006620.5458536732
03.01.2023 01:00;1006995.9656196272
03.01.2023 01:15;0.0
03.01.2023 01:30;0.0
03.01.2023 01:45;0.0
03.01.2023 02:00;0.0
03.01.2023 02:15;0.0
03.01.2023 02:30;0.0
03.01.2023 02:45;0.0
03.01.2023 03:00;1007038.3598240775
03.01.2023 03:15;0.0
03.01.2023 03:30;0.0
03.01.2023 03:45;0.0
03.01.2023 04:00;0.0
03.01.2023 04:15;0.0
03.01.2023 04:30;0.0
03.01.2023 04:45;0.0
03.01.2023 05:00;0.0
03.01.2023 05:15;0.0
03.01.2023 05:30;0.0
03.01.2023 05:45;0.0
