time_step,SOC_batt,p_batt_charge,p_batt_discharge,p_RES,p_curtailment,p_RES_net
40,0.395089400299473,100000.0,0.0,0.0,0.0,0.0
41,0.43675606696613967,100000.0,0.0,0.0,0.0,0.0
42,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
43,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
44,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
45,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
46,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
47,0.47842273363280635,0.0,0.0,0.0,0.0,0.0
48,0.47842273363280635,-0.0,8333.993689519946,0.0,0.0,0.0
49,0.47495023626217303,-0.0,8329.765632271192,0.0,0.0,0.0
50,0.47147950058206,-0.0,8325.53757502244,0.0,0.0,0.0
51,0.46801052659246734,-0.0,8321.309517773685,0.0,0.0,0.0
52,0.46454331429339496,0.0,0.0,0.0,0.0,0.0
53,0.46454331429339496,0.0,0.0,0.0,0.0,0.0
54,0.46454331429339496,0.0,100000.0,0.0,0.0,0.0
55,0.4228766476267283,0.0,100000.0,0.0,0.0,0.0
56,0.3812099809600616,0.0,0.0,0.0,0.0,0.0
57,0.3812099809600616,0.0,0.0,0.0,0.0,0.0
58,0.3812099809600616,0.0,0.0,0.0,0.0,0.0
59,0.3812099809600616,-0.0,8682.365197432317,0.0,0.0,0.0
60,0.3775923287944648,-0.0,8789.653018224752,0.0,0.0,0.0
61,0.3739299733702045,-0.0,8740.529702238435,0.0,0.0,0.0
62,0.3702880859942718,-0.0,8691.406386252122,0.0,0.0,0.0
63,0.36666666666666675,0.0,0.0,0.0,0.0,0.0
64,0.36666666666666675,0.0,0.0,0.0,0.0,0.0
65,0.36666666666666675,0.0,100000.0,0.0,0.0,0.0
66,0.32500000000000007,0.0,0.0,0.0,0.0,0.0
67,0.32500000000000007,100000.0,0.0,0.0,0.0,0.0
68,0.36666666666666675,0.0,100000.0,0.0,0.0,0.0
69,0.32500000000000007,0.0,0.0,9.146551340867068,-4.4941828036826337e-13,9.146551340867518
70,0.32500000000000007,0.0,0.0,32.41098193907698,-8.455458555545192e-13,32.41098193907783
71,0.32500000000000007,0.0,100000.0,55.68214879446227,7.865708084864309e-12,55.682148794454406
72,0.2833333333333334,0.0,100000.0,78.93475537140279,-5.115907697472721e-13,78.9347553714033
73,0.2416666666666667,0.0,100000.0,199.0076986012977,1.1311840353300795e-11,199.0076986012864
74,0.2,0.0,0.0,323.41201944704795,-8.526512829121202e-13,323.4120194470488
75,0.2,83153.02460475767,0.0,451.04056886029696,5.5706550483591855e-12,451.0405688602914
76,0.2346470935853157,100000.0,0.0,581.1299755080938,581.1299755080938,0.0
77,0.2763137602519824,100000.0,0.0,713.124528833054,2.2737367544323206e-13,713.1245288330538
78,0.3179804269186491,100000.0,0.0,846.6064185305996,1.1937117960769683e-11,846.6064185305877
79,0.35964709358531577,100000.0,0.0,981.25423289103,-4.888534022029489e-12,981.2542328910349
80,0.40131376025198245,100000.0,0.0,1116.8162212561886,1.1368683772161603e-12,1116.8162212561874
81,0.44298042691864914,100000.0,0.0,1253.0921696851044,4.320099833421409e-12,1253.0921696851
82,0.4846470935853158,0.0,0.0,1389.920713297906,-2.2737367544323206e-13,1389.9207132979063
83,0.4846470935853158,0.0,0.0,1527.1702082732786,-4.547473508864641e-13,1527.170208273279
84,0.4846470935853158,0.0,0.0,1664.732036656391,2.2737367544323206e-13,1664.7320366563908
85,0.4846470935853158,0.0,0.0,1861.763665514659,-9.094947017729282e-13,1861.7636655146598
