Electric Power (kW),Source Temperature (K),Thermal Power (kW)
3780.6355351781713,314.3736715103697,7341.2296455513315
2843.34647651427,321.95133006161683,5941.540054412913
5942.789021784791,319.1593388871508,14076.865466527592
1098.3394662466364,316.7879697833335,1375.5219683157002
558.3388437281772,320.12008932595313,468.35733137206967
1187.1021350347035,316.2010233793429,1541.0911454032616
2804.613338581475,321.3507582331051,5771.660130652715
509.0232524547849,317.8153576637794,381.92733551462817
5581.654562112237,317.607379329973,12689.337787783626
3957.8905169229906,316.13966092514164,8010.825346559632
3714.1179770111357,318.7531964861363,7768.627933275252
981.4772941362646,320.9657996298091,1238.5353127360136
5767.947857168569,313.59031300932276,12305.822255497327
1003.4362687178724,317.8894717555116,1212.0059556052267
5624.073550251783,320.7007019491632,13571.745056294816
3553.147369483846,313.88325711810546,6746.6808639323435
4636.39859916574,320.95021956185303,10674.925375277007
1563.4060177834986,317.2342616493344,2398.4780691630294
144.68753914925946,314.2980364550392,40.10369123115207
3525.89538824652,313.69083369807777,6661.489465468034
378.15506505351993,317.94485370168616,227.33228390878241
3263.089101457459,320.90420219886033,6905.126718347902
1700.2083887606027,315.3397973425665,2623.8288216559686
1805.298192576626,319.9723267975846,3113.2928446971687
5497.729928845209,319.4969462767847,12896.022693752318
5669.391277457225,316.71777116945617,12728.586602105837
514.9043320874374,318.4369911914674,394.13563127007086
8.423565192587024,317.52396080626863,0.7871150028751502
1098.6862743575675,314.5985472772316,1324.1251010603376
2747.615392940051,314.1499129541047,4930.4034869612005
2880.1975574508256,318.54172246402874,5657.748561434399
3681.498431005119,320.8160383767006,7991.067198496191
4453.078583240951,314.7061618564166,9048.567415153679
2497.976891375977,315.5490091649508,4471.341459361742
4018.339405452311,321.4392393388214,9008.02470101
3986.0450163110295,315.82219754704363,8035.945993125226
4696.039677139617,322.4044641573682,11163.372501075784
3304.701032025839,314.43109618780966,6232.013374525
5822.917469976831,320.3162797714711,14049.852155358942
1750.2516130115237,318.86831501801083,2916.568501764024
1374.5741698704246,315.71485215347155,1921.0889882922474
5463.55716491661,314.66277301399015,11726.403546217029
5616.489305435674,317.83899516955546,12841.23816489026
2696.715648792089,318.4817146991169,5201.176501785946
2346.925825265541,314.8417182438351,4069.912866623732
69.04417577468469,320.87394747485877,13.573293437854925
1556.7774247397965,319.2669780044748,2474.255128370676
2533.3237511825455,313.2723635270708,4378.082201958383
3512.6597270246157,317.9805812527309,7153.165436150206
123.92752527742968,317.183984865026,32.53147834986008
101.01503375141263,317.11223071033436,23.189956972136276
1319.677764729128,321.587338195074,2011.669417146844
4038.528621503834,315.6556297408756,8143.043330620246
4688.333189704314,319.5538883172591,10542.37705439148
5855.469449293412,314.68172236223256,12764.975645199771
3534.206970718501,314.22204551515364,6741.757065968634
4932.351636671481,317.970839547114,10921.277116872625
4806.242596923855,322.10955831296445,11431.268898495146
5945.205164269077,322.697896702594,15080.456266038667
1388.5738439357438,321.6656678389537,2179.257354061092
447.9426023126709,319.784670660002,316.7767993325572
4420.442470390034,322.21745119963714,10302.386634764869
1530.7700803686434,319.7988843106095,2437.054781135857
3791.457272183676,323.14091962519853,8673.205098104227
2412.597809281293,316.26421859609394,4327.406826017549
5712.908942690089,317.7223652611554,13083.084849921524
745.1956885708755,314.29494842803354,692.3181924827096
459.25079525446733,320.5917996109256,336.0582285943235
4320.320561835113,320.7928260739749,9735.473327691663
198.20419875059804,313.8785504465274,68.2526292244814
472.67667236090216,322.35462847988185,365.82684320181505
4565.459856069414,317.3564859877105,9787.242112153888
984.8457547426408,317.41718277657407,1165.4158622478649
1785.1053288863388,319.7387750981721,3049.9674234755826
4134.0864489224905,317.01050221728786,8587.506209484407
377.9570913107326,321.1376237030819,241.20918242912816
4708.933232381901,316.3604207148362,9998.761165522223
900.3448653254316,319.22103308216816,1039.136205812217
4186.628532250035,320.2635852877158,9266.003497139112
2162.597754633032,315.1572877338468,3667.93134899243
5646.555028574053,322.6437253664068,14167.57399624087
2980.2855974087433,317.1685639906737,5757.684027858274
2633.0436546616775,322.8763333002426,5490.3187619827895
4608.195094188203,320.7045748656364,10542.51677419686
3171.3302830263356,316.60153533360744,6154.678040175333
2570.871880272363,317.1188881339195,4772.372182601591
1580.202091011258,322.7600680262618,2706.852790545152
1897.853097211527,319.155706974025,3291.4302234897423
4753.598207498417,321.31820944143976,11098.304483988255
5291.395145838908,316.86561653107606,11708.4964475467
4145.299399492837,319.1715208184181,8965.315446901968
2597.123644050374,316.7375061268875,4802.050900420726
