time,p_grid_draw
02.01.2023 01:15,991919.6235796182
02.01.2023 01:30,0.0
02.01.2023 01:45,0.0
02.01.2023 02:00,0.0
02.01.2023 02:15,0.0
02.01.2023 02:30,0.0
02.01.2023 02:45,992296.3038375875
02.01.2023 03:00,0.0
02.01.2023 03:15,0.0
02.01.2023 03:30,0.0
02.01.2023 03:45,991199.5546407906
02.01.2023 04:00,991257.1713139404
02.01.2023 04:15,990765.3815990965
02.01.2023 04:30,0.0
02.01.2023 04:45,0.0
02.01.2023 05:00,0.0
02.01.2023 05:15,0.0
02.01.2023 05:30,988437.9953425273
02.01.2023 05:45,0.0
02.01.2023 06:00,0.0
02.01.2023 06:15,0.0
02.01.2023 06:30,2.328306436538697e-10
02.01.2023 06:45,2.328306436538697e-10
02.01.2023 07:00,2.328306436538697e-10
02.01.2023 07:15,983810.6205307194
02.01.2023 07:30,0.0
02.01.2023 07:45,0.0
02.01.2023 08:00,0.0
02.01.2023 08:15,0.0
02.01.2023 08:30,0.0
02.01.2023 08:45,989943.619854963
02.01.2023 09:00,0.0
02.01.2023 09:15,1013364.3678208861
02.01.2023 09:30,49233.65326216603
02.01.2023 09:45,0.0
02.01.2023 10:00,0.0
02.01.2023 10:15,0.0
02.01.2023 10:30,0.0
02.01.2023 10:45,0.0
02.01.2023 11:00,0.0
02.01.2023 11:15,0.0
02.01.2023 11:30,0.0
02.01.2023 11:45,0.0
02.01.2023 12:00,0.0
02.01.2023 12:15,0.0
02.01.2023 12:30,1203394.860878642
02.01.2023 12:45,1173126.7792284065
02.01.2023 13:00,1145178.041526043
02.01.2023 13:15,1132433.2384101017
02.01.2023 13:30,1118648.6061253669
02.01.2023 13:45,1105683.935527081
02.01.2023 14:00,1091040.487909811
02.01.2023 14:15,1057188.3103090655
02.01.2023 14:30,1031052.1997069905
02.01.2023 14:45,0.0
02.01.2023 15:00,0.0
02.01.2023 15:15,0.0
02.01.2023 15:30,0.0
02.01.2023 15:45,986879.9633768721
02.01.2023 16:00,0.0
02.01.2023 16:15,2.328306436538697e-10
02.01.2023 16:30,2.328306436538697e-10
02.01.2023 16:45,0.0
02.01.2023 17:00,0.0
02.01.2023 17:15,2.328306436538697e-10
02.01.2023 17:30,0.0
02.01.2023 17:45,2.328306436538697e-10
02.01.2023 18:00,988185.3160704578
02.01.2023 18:15,988229.721864423
02.01.2023 18:30,989449.1921510128
02.01.2023 18:45,988416.7520113915
02.01.2023 19:00,988673.1098026552
02.01.2023 19:15,0.0
02.01.2023 19:30,2.328306436538697e-10
02.01.2023 19:45,0.0
02.01.2023 20:00,0.0
02.01.2023 20:15,2.328306436538697e-10
02.01.2023 20:30,991423.0510990313
02.01.2023 20:45,991618.7831303914
02.01.2023 21:00,0.0
02.01.2023 21:15,991838.1397357348
02.01.2023 21:30,991481.4045307608
02.01.2023 21:45,991896.7748399724
02.01.2023 22:00,991546.5240015388
02.01.2023 22:15,991848.4301661277
02.01.2023 22:30,0.0
02.01.2023 22:45,992218.1037467585
02.01.2023 23:00,992181.1671748265
02.01.2023 23:15,992429.9451980784
02.01.2023 23:30,2.328306436538697e-10
02.01.2023 23:45,0.0
03.01.2023 00:00,2.328306436538697e-10
03.01.2023 00:15,2.328306436538697e-10
03.01.2023 00:30,0.0
03.01.2023 00:45,1.3786594680313665e-10
03.01.2023 01:00,0.0
03.01.2023 01:15,992926.6616841957
03.01.2023 01:30,0.0
03.01.2023 01:45,0.0
03.01.2023 02:00,0.0
03.01.2023 02:15,0.0
03.01.2023 02:30,0.0
03.01.2023 02:45,0.0
03.01.2023 03:00,2.328306436538697e-10
03.01.2023 03:15,993027.0801089661
03.01.2023 03:30,992971.904628051
03.01.2023 03:45,0.0
03.01.2023 04:00,0.0
03.01.2023 04:15,0.0
03.01.2023 04:30,0.0
03.01.2023 04:45,0.0
03.01.2023 05:00,0.0
03.01.2023 05:15,0.0
03.01.2023 05:30,0.0
03.01.2023 05:45,990891.3508709439
03.01.2023 06:00,0.0
03.01.2023 06:15,0.0
03.01.2023 06:30,0.0
03.01.2023 06:45,0.0
03.01.2023 07:00,2.328306436538697e-10
03.01.2023 07:15,2.328306436538697e-10
03.01.2023 07:30,0.0
03.01.2023 07:45,2.328306436538697e-10
03.01.2023 08:00,2.328306436538697e-10
03.01.2023 08:15,0.0
03.01.2023 08:30,706028.5151265704
03.01.2023 08:45,0.0
03.01.2023 09:00,0.0
03.01.2023 09:15,0.0
03.01.2023 09:30,1020367.5750108238
03.01.2023 09:45,0.0
03.01.2023 10:00,1062396.1588665708
03.01.2023 10:15,1082518.465451821
03.01.2023 10:30,1104424.760742807
03.01.2023 10:45,1127804.2100658996
03.01.2023 11:00,1152770.9146969107
03.01.2023 11:15,1156696.4965399343
03.01.2023 11:30,1159798.0588562456
03.01.2023 11:45,1161307.8217473612
03.01.2023 12:00,0.0
03.01.2023 12:15,0.0
03.01.2023 12:30,0.0
03.01.2023 12:45,0.0
03.01.2023 13:00,1129413.3767927755
03.01.2023 13:15,1124357.7338755145
03.01.2023 13:30,1116323.3566345377
03.01.2023 13:45,1106355.8839360075
03.01.2023 14:00,1093937.5306708438
03.01.2023 14:15,1050342.9154432747
03.01.2023 14:30,0.0
03.01.2023 14:45,0.0
03.01.2023 15:00,992637.8705720716
03.01.2023 15:15,2.937067666702755e-10
03.01.2023 15:30,0.0
03.01.2023 15:45,0.0
03.01.2023 16:00,0.0
03.01.2023 16:15,0.0
03.01.2023 16:30,0.0
03.01.2023 16:45,0.0
03.01.2023 17:00,2.328306436538697e-10
03.01.2023 17:15,2.328306436538697e-10
03.01.2023 17:30,0.0
03.01.2023 17:45,0.0
03.01.2023 18:00,0.0
03.01.2023 18:15,0.0
03.01.2023 18:30,0.0
03.01.2023 18:45,0.0
03.01.2023 19:00,0.0
03.01.2023 19:15,990875.7241730995
03.01.2023 19:30,991047.0985501863
03.01.2023 19:45,992001.1366093114
03.01.2023 20:00,992246.3463743732
03.01.2023 20:15,992912.9030907027
03.01.2023 20:30,993076.2657070167
03.01.2023 20:45,0.0
03.01.2023 21:00,0.0
03.01.2023 21:15,0.0
03.01.2023 21:30,994139.7325537265
03.01.2023 21:45,994266.14481818
03.01.2023 22:00,994516.3665423404
03.01.2023 22:15,0.0
03.01.2023 22:30,0.0
03.01.2023 22:45,2.328306436538697e-10
03.01.2023 23:00,0.0
03.01.2023 23:15,0.0
03.01.2023 23:30,0.0
03.01.2023 23:45,994472.3214404453
